year,level,course,sex,enrolment_secondary
1996,Secondary 1,Special,MF,4009
1996,Secondary 1,Special,F,2199
1996,Secondary 2,Express,MF,22287
1996,Secondary 2,Express,F,11180
1996,Secondary 2,Normal (Acad),MF,10591
1996,Secondary 2,Normal (Acad),F,4638
1996,Secondary 2,Normal (Tech),MF,6606
1996,Secondary 2,Normal (Tech),F,2477
1996,Secondary 2,Special,MF,4137
1996,Secondary 2,Special,F,2243
1996,Secondary 3,Express,MF,25495
1996,Secondary 3,Express,F,13141
1996,Secondary 3,Normal (Acad),MF,16739
1996,Secondary 3,Normal (Acad),F,7362
1996,Secondary 3,Normal (Tech),MF,7281
1996,Secondary 3,Normal (Tech),F,2630
1996,Secondary 3,Special,MF,3528
1996,Secondary 3,Special,F,1846
1996,Secondary 4,Express,MF,21217
1996,Secondary 4,Express,F,11083
1996,Secondary 4,Normal (Acad),MF,12075
1996,Secondary 4,Normal (Acad),F,5458
1996,Secondary 4,Normal (Tech),MF,0
1996,Secondary 4,Normal (Tech),F,0
1996,Secondary 4,Special,MF,2782
1996,Secondary 4,Special,F,1437
1996,Secondary 5,Normal (Acad),MF,10333
1996,Secondary 5,Normal (Acad),F,4792
1997,Secondary 1,Express,MF,21316
1997,Secondary 1,Express,F,10531
1997,Secondary 1,Normal (Acad),MF,9354
1997,Secondary 1,Normal (Acad),F,4338
1997,Secondary 1,Normal (Tech),MF,6922
1997,Secondary 1,Normal (Tech),F,2623
1997,Secondary 1,Special,MF,4020
1997,Secondary 1,Special,F,2148
1997,Secondary 2,Express,MF,21569
1997,Secondary 2,Express,F,10822
1997,Secondary 2,Normal (Acad),MF,9429
1997,Secondary 2,Normal (Acad),F,4210
1997,Secondary 2,Normal (Tech),MF,6051
1997,Secondary 2,Normal (Tech),F,2412
1997,Secondary 2,Special,MF,3841
1997,Secondary 2,Special,F,2151
1997,Secondary 3,Express,MF,23370
1997,Secondary 3,Express,F,11645
1997,Secondary 3,Normal (Acad),MF,10889
1997,Secondary 3,Normal (Acad),F,4662
1997,Secondary 3,Normal (Tech),MF,6235
1997,Secondary 3,Normal (Tech),F,2356
1997,Secondary 3,Special,MF,3847
1997,Secondary 3,Special,F,2144
1997,Secondary 4,Express,MF,24349
1997,Secondary 4,Express,F,12695
1997,Secondary 4,Normal (Acad),MF,15877
1997,Secondary 4,Normal (Acad),F,7076
1997,Secondary 4,Normal (Tech),MF,6729
1997,Secondary 4,Normal (Tech),F,2451
1997,Secondary 4,Special,MF,3279
1997,Secondary 4,Special,F,1770
1997,Secondary 5,Normal (Acad),MF,9675
